runId,caseId,intervalMs,iteration,starts,ends,totalRequests,totalDurationMs,successCount,walkOnlyCount,noRouteCount,http429Count,odsayMinus1Count,http5xxCount,otherErrorCount,responseAverageMs,responseP50Ms,responseP95Ms,responseMaxMs,startGapMinMs,startGapAverageMs,startGapMaxMs
1x1-1000ms-1,1x1,1000,1,1,1,1,3139,1,0,0,0,0,0,0,2122,2122,2122,2122,,,
1x1-500ms-1,1x1,500,1,1,1,1,1519,1,0,0,0,0,0,0,1012,1012,1012,1012,,,
1x1-250ms-1,1x1,250,1,1,1,1,1715,1,0,0,0,0,0,0,1459,1459,1459,1459,,,
1x1-150ms-1,1x1,150,1,1,1,1,1593,1,0,0,0,0,0,0,1440,1440,1440,1440,,,
1x1-100ms-1,1x1,100,1,1,1,1,1110,1,0,0,0,0,0,0,1008,1008,1008,1008,,,
1x1-50ms-1,1x1,50,1,1,1,1,1069,1,0,0,0,0,0,0,1010,1010,1010,1010,,,
1x1-0ms-1,1x1,0,1,1,1,1,1012,1,0,0,0,0,0,0,1012,1012,1012,1012,,,
