runId,caseId,intervalMs,iteration,starts,ends,totalRequests,totalDurationMs,successCount,walkOnlyCount,noRouteCount,http429Count,odsayMinus1Count,http5xxCount,otherErrorCount,responseAverageMs,responseP50Ms,responseP95Ms,responseMaxMs,startGapMinMs,startGapAverageMs,startGapMaxMs
1x1-1000ms-1,1x1,1000,1,1,1,1,1097,0,0,0,0,0,0,1,92,92,92,92,,,
1x1-500ms-1,1x1,500,1,1,1,1,514,0,0,0,0,0,0,1,3,3,3,3,,,
1x1-250ms-1,1x1,250,1,1,1,1,257,0,0,0,0,0,0,1,2,2,2,2,,,
1x1-150ms-1,1x1,150,1,1,1,1,166,0,0,0,0,0,0,1,2,2,2,2,,,
1x1-100ms-1,1x1,100,1,1,1,1,104,0,0,0,0,0,0,1,3,3,3,3,,,
1x1-50ms-1,1x1,50,1,1,1,1,60,0,0,0,0,0,0,1,2,2,2,2,,,
1x1-0ms-1,1x1,0,1,1,1,1,2,0,0,0,0,0,0,1,2,2,2,2,,,
