runId,caseId,intervalMs,iteration,starts,ends,totalRequests,totalDurationMs,successCount,walkOnlyCount,noRouteCount,http429Count,odsayMinus1Count,http5xxCount,otherErrorCount,responseAverageMs,responseP50Ms,responseP95Ms,responseMaxMs,startGapMinMs,startGapAverageMs,startGapMaxMs
2x2-1000ms-1,2x2,1000,1,2,2,4,8334,4,0,0,0,0,0,0,1329,1245,1579,1579,2242,2363,2588
3x3-1000ms-1,3x3,1000,1,3,3,9,18141,9,0,0,0,0,0,0,1120,1180,1269,1269,1730,2139,2273
2x2-500ms-1,2x2,500,1,2,2,4,6207,4,0,0,0,0,0,0,1171,1194,1242,1242,1520,1655,1745
3x3-500ms-1,3x3,500,1,3,3,9,11955,9,0,0,0,0,0,0,876,827,1221,1221,937,1417,1731
2x2-250ms-1,2x2,250,1,2,2,4,3299,4,0,0,0,0,0,0,628,444,1011,1011,692,892,1275
3x3-250ms-1,3x3,250,1,3,3,9,8848,9,0,0,0,0,0,0,754,630,1309,1309,693,942,1381
2x2-150ms-1,2x2,150,1,2,2,4,2988,4,0,0,0,0,0,0,630,439,1021,1021,590,786,1178
3x3-150ms-1,3x3,150,1,3,3,9,7182,9,0,0,0,0,0,0,659,630,1064,1064,590,844,1229
2x2-100ms-1,2x2,100,1,2,2,4,2846,4,0,0,0,0,0,0,630,437,1011,1011,545,737,1119
3x3-100ms-1,3x3,100,1,3,3,9,6934,9,0,0,0,0,0,0,674,626,1042,1042,544,736,1118
2x2-50ms-1,2x2,50,1,2,2,4,2727,4,0,0,0,0,0,0,635,450,1022,1022,502,701,1086
3x3-50ms-1,3x3,50,1,3,3,9,5782,9,0,0,0,0,0,0,592,592,1023,1023,500,669,1074
2x2-0ms-1,2x2,0,1,2,2,4,2521,4,0,0,0,0,0,0,630,442,1012,1012,441,632,1012
3x3-0ms-1,3x3,0,1,3,3,9,5053,9,0,0,0,0,0,0,561,437,1018,1018,432,578,1019
